title,url
最强上班摸鱼工具 Thief-Book 3.0 发布，新增股票价格监控、 Mac 下 Touch Bar 模式,https://www.appinn.com/thief-book-3-0/
ghostwriter – 免费开源的跨平台 Markdown 编辑器,https://www.appinn.com/ghostwriter/
frp – 你也能用的开源内网穿透工具，最简洁教程,https://www.appinn.com/frp/
Scrcpy – 用电脑控制 Android 手机[Win/macOS/Linux],https://www.appinn.com/scrcpy-remote-android-from-computer/
BND 1&2 – 百度网盘不限速下载工具[Win/macOS/Linux],https://www.appinn.com/baidu-netdisk-downloader/
SearchMyFiles – 替代 Windows 原生搜索的高级搜索工具，NirSoft 出品,https://www.appinn.com/searchmyfiles-from-nirsoft/
EasyGO – 快捷启动软件[Windows],https://www.appinn.com/goany-for-windows/
ImageGlass – 开源轻量级看图工具[Windows],https://www.appinn.com/imageglass/
pingo – 快速批量无损图片压缩，支持 PNG、JPG、WebP[Windows],https://www.appinn.com/pingo-optimize-your-images-for-web/
Mr.Otter – 比搜索引擎更方便？搜索 200+ 垂直网站内容,https://www.appinn.com/mr-otter/
Nums – 将笔记本触控板变成数字键盘[硬件],https://www.appinn.com/nums-luckeytech/
求一款专门管理设计资源的工具（针对各类图像）,https://www.appinn.com/how-to-manage-image-design-resources/
DBadmin 深蓝穿透远程 – 支持 iPhone、Android 的 免费内网穿透、远程控制工具[Windows],https://www.appinn.com/dbadmin-for-windows/
快速制作动画视频的软件 –  万彩动画大师送 3000 个激活码，抢完即止,https://www.appinn.com/wancai-20190715/
色彩专家 – 专业的色彩设计 UWP 应用,https://www.appinn.com/ui-color-for-uwp/
Folder Size View – 一目了然，展示文件夹内容大小[Win/macOS],https://www.appinn.com/folder-size-view/
Newsflow – UWP 上的 RSS 阅读器,https://www.appinn.com/newsflow-for-uwp/
Thief-Book – 上班摸鱼神器：在屏幕小区域上阅读小说[Win/macOS/VS Code],https://www.appinn.com/thief-book/
Keypirinha – 为键盘侠打造，Windows 快捷启动工具,https://www.appinn.com/keypirinha/
歌词助手 – UWP 上的极简歌词获取工具,https://www.appinn.com/lyric-fetche-for-uwp/
Partition Master – 可动态调整分区大小的磁盘管理软件[Windows],https://www.appinn.com/partition-master-free/
tagLyst Next – 文件入库、加标签，解决文件分类与聚合的难题[Win/macOS],https://www.appinn.com/taglyst-next/
Krisp – 在通话时，双向背景杂音主动降噪[Windows/macOS],https://www.appinn.com/krisp/
嘀嘀，Office 365 开车啦,https://www.appinn.com/office-365-lizhi-share/
Listary Pro – 本地文件搜索工具，特惠[Windows],https://www.appinn.com/listary-pro-lizhi/
QFD 质量功能展开 – 一个免费的质量功能展开软件[Windows],https://www.appinn.com/quality-function-deployment/
